100, 46, 38, 29
101, 23, 44, 13
102, 13, 31, 44
103, 11, 25, 1
104, 21, 30, 26
105, 11, 21, 13
106, 35, 22, 22
107, 19, 0, 33
108, 9, 31, 8
109, 25, 35, 33
110, 11, 15, 37
111, 34, 14, 28
112, 31, 24, 18
113, 23, 9, 25
114, 38, 48, 27
115, 10, 33, 32
116, 49, 36, 10
117, 4, 47, 27
118, 7, 6, 37
119, 41, 16, 8
120, 5, 37, 43
121, 20, 11, 0
122, 41, 1, 43
123, 45, 16, 16
124, 13, 40, 26
125, 2, 18, 10
126, 3, 48, 12
127, 38, 45, 5
128, 14, 44, 32
129, 12, 41, 7
130, 31, 5, 20
131, 31, 5, 25
132, 30, 24, 29
133, 12, 31, 24
134, 34, 10, 5
135, 0, 43, 17
136, 5, 10, 12
137, 42, 8, 5
138, 0, 47, 41
139, 4, 43, 31
140, 36, 18, 19
141, 49, 49, 30
142, 6, 13, 10
143, 40, 8, 0
144, 42, 47, 10
145, 7, 41, 39
146, 5, 8, 8
147, 45, 18, 27
148, 29, 11, 36
149, 9, 10, 11
